U,V,W,X,Y,Z
0.5065082348488872,0.912982242762898,0.4424419767686142,0.24576228337772482,0.24151498910034316,0.3225120300570158
0.9274521696896386,0.15217069860371632,0.7713178502478557,0.6740983394764509,0.6570422730213294,0.7978399148432875
0.2603882083877791,0.42171169893503124,0.6201073511774483,0.6475376057764393,0.6909695783365809,0.402309066041319
0.7136886299748229,0.8687756918120905,0.8087879401584215,0.7030451494014028,0.6469378801235381,0.7981736753840165
0.7748556302838402,0.21058580408088234,0.3213726808859737,0.5963742776122024,0.6898264755899212,0.42819983701900066
0.6372811842206686,0.5556136933663345,0.8047066930281317,0.8499285584061854,0.6543528697627374,0.821555706031051
0.8570644685051465,0.795525809886885,0.4161297883856725,0.2276897724467838,0.6589052779349014,0.34998244847950705
0.4419331097576774,0.35863159324843774,0.8030082265158993,0.6240845469741716,0.8047057629632866,0.7682460189413992
0.9094024341588173,0.796499107219136,0.47828422134064985,0.7112436692286599,0.4154026802990546,0.43728898360962254
0.3034507433499133,0.35422709825786214,0.8064773293324087,0.6696762919468914,0.803273568261871,0.8425149671395471
0.7734183350178445,0.8242553443092365,0.4903398707827473,0.6279605463430588,0.3965095312838877,0.2446394588852407
0.6647521730006951,0.32869619732479133,0.7901478762522205,0.7587944225295092,0.8350154319952793,0.6604231017636195
0.8027273479963849,0.7365883879114292,0.5344213087238247,0.4676144726948361,0.2921059652752127,0.6462033453475837
0.5778914134886053,0.5351863632521014,0.8005524973352315,0.8408123566377943,0.74544090056163,0.7851605077169324
0.8919953065622724,0.8163148097269708,0.4413627743022412,0.26598727890283386,0.49908202507441424,0.4161341264706714
0.36801665262755284,0.3104396195507482,0.8018189942554758,0.7014484783864016,0.9071734426122632,0.8282202203480457
0.8534672480883978,0.7635890591781909,0.4875335331173062,0.6033217259066724,0.09030594304892973,0.26993107506578146
0.4586129386489257,0.42697855975188126,0.8005733469123222,0.8078691290554367,0.30293702172937775,0.7216534832360373
0.8875916858487714,0.8507798610796087,0.4724569969419066,0.349508353199838,0.708474938673364,0.6563943828041412
0.3645873063320247,0.22987669318892626,0.7918414095745799,0.8014796950851086,0.6942117593103917,0.6789413478647937
0.8452273114789202,0.6315989542580549,0.5423984948390467,0.3888929970226136,0.6102389845134574,0.6511874382414223
0.4895055475844461,0.682530656867205,0.814504756248586,0.822547671684606,0.8182127070174444,0.7316838089763222
0.9297879578532086,0.6890719964181463,0.3721484112020999,0.3055747571766017,0.3279149834675186,0.5225061905648396
0.22904552785791557,0.5542687293691114,0.7829377473709548,0.7622723934813723,0.7980594407712804,0.886735234536493
0.658874265240312,0.8899765037024763,0.47323148889905975,0.46438033034855764,0.4019972559354663,0.13473029946507253
0.8301001036108162,0.17462301613670267,0.7703623385754905,0.8617577362848267,0.8581844729577924,0.4220766333381308
0.527597115756668,0.495801987849932,0.6263514240815953,0.2061329586468593,0.18771169090876813,0.8008661276372481
0.9280325457124053,0.8247294203517674,0.7701329982597532,0.5691587632483547,0.5617882699971959,0.5347375076816142
0.2457406760355684,0.27410794555487145,0.44541148155716503,0.7800573000669933,0.8102701995911332,0.8407501988817291
