T,U,V,W,X,Y,Z
0.5078640245163972,0.30842749060424735,0.7118288890244011,0.17229995953677457,0.9156567664352303,0.4383856907305924,0.05538732125787642
0.9165518508011117,0.626072157063523,0.6035585623621532,0.5313801820527211,0.13290670070480068,0.7465683572965809,0.19818752146891436
0.27734125994315023,0.6602930220480298,0.5890417366365525,0.8433992808881938,0.37755423039856195,0.5357127983384691,0.5492449640000202
0.736174760700157,0.6628260302821287,0.6692169574762797,0.3052421729741029,0.8553119342728177,0.7119040740205944,0.7637138887374408
0.7158510905425626,0.46438425676793615,0.5776103560832057,0.7244396124795497,0.24415804308304326,0.48751130633303935,0.6076124987030157
0.7433567585351922,0.752832863600361,0.6370064979604892,0.630559856247841,0.6326370366109056,0.7584375648181776,0.7406167251502769
0.7009771816904521,0.33269278831543975,0.5474191575440118,0.7023568610192362,0.6899297548306309,0.3499660311464346,0.5652743874859166
0.7808897227669925,0.6385183960387233,0.6455124483705469,0.6943236305718662,0.6316010005829823,0.6919989732387859,0.7892006503763022
0.6379241202990633,0.5504583187882759,0.5165084050235053,0.6458927175819277,0.7221705351627273,0.4875593604693073,0.43365969074242955
0.850332782755993,0.6567680147280327,0.7121591724482563,0.7281176403544769,0.5921845750335172,0.7010782822318288,0.804752228152925
0.4762879884407177,0.4976918385668035,0.37165957339910966,0.5697289594303293,0.7367682645532875,0.475948032172338,0.3951248015822694
0.9356626865146772,0.705759656379245,0.7356830947901519,0.8125482508703631,0.6139993049514266,0.7202343753738102,0.8170964061475491
0.22512612806727061,0.3776245118688899,0.27962668210288566,0.3538564995194263,0.6807682634297737,0.39329467238154975,0.3267598160060369
0.6382906344355719,0.7445116269662188,0.6933027866934526,0.8293665389782684,0.7562380462730558,0.7548119040223117,0.7719424811904997
0.8654578850924838,0.320918683744659,0.43223880760600414,0.30965659732506295,0.5357455714880747,0.2650353307425896,0.4403243929842296
0.42005606725161204,0.6389053867820181,0.7404107830727994,0.7779315513286913,0.7844519794424507,0.658040604865515,0.8655375403321179
0.8851943494346827,0.6081502541423767,0.4123948532257538,0.45292868624306004,0.5079443233845137,0.48868445764344226,0.19499605303411863
0.3634958317265295,0.606107747793644,0.7200992937581978,0.8321598732841841,0.7769334065479899,0.7926491432867219,0.5520949265952731
0.8515210938942466,0.6437710567730139,0.4395584849099982,0.340955255965868,0.5685361016864122,0.15044322684628225,0.7535421344705934
0.48129313180351435,0.5254020939610218,0.7449644700302968,0.7705587025778592,0.7675650968645723,0.4148272617153926,0.6016015104190939
0.9293255552406021,0.6918348462921315,0.37238210443270753,0.5265439104947679,0.5560365957119885,0.693744763264296,0.7356137563911292
0.2622773250442002,0.4496114810011629,0.6803572315525693,0.8002843037236865,0.7351451579787245,0.551534426186333,0.5924157200367668
0.7163241318924182,0.7534975928012997,0.5690207380735681,0.46657413254973107,0.6608578590905562,0.6184154025195383,0.713562784287125
0.7612061854650038,0.3317522291472909,0.685694916558971,0.8045051510223911,0.6745726533062867,0.6401396296629362,0.6497208299608255
0.6812833280934938,0.6494253515891121,0.44477672414944275,0.49074011116252914,0.6460480105565177,0.5221692356213283,0.6692852402113113
0.8053011601150604,0.5535613767279439,0.7406081023848002,0.8377633262748079,0.7054133603349118,0.7384328450929122,0.7010264423734343
0.5553851061326626,0.6215196799254358,0.2880215257225496,0.3376017891895078,0.569950654464752,0.31277536020835855,0.579279738391039
0.9169841267795444,0.6321267143708742,0.6706966847890845,0.7583523010915476,0.809231348230702,0.7131990006891376,0.8299235742343735
0.29506292326656547,0.4883404556032168,0.44355992037134173,0.5176905665637039,0.3265900561905075,0.3672845772332192,0.3189399581494079
0.7653222314681424,0.8136705205254003,0.7852284751284732,0.8575476027791162,0.7993871812171917,0.7542595737522031,0.7460837411850776
0.6460833607343611,0.1299575549607376,0.18821357330698749,0.20611328745592372,0.3958706578271047,0.24476691031595071,0.46482294252570205
0.8385792720030841,0.3916168905698758,0.505607667436675,0.596086467080171,0.8106584676275976,0.6427191550652137,0.8939250598767859
0.495587608858035,0.6609450331946042,0.6692315081307987,0.8361926006982199,0.3370700726695237,0.5664332689873958,0.16338461046940575
0.9290452620143765,0.6332730700825095,0.5202212054817711,0.3112432766926927,0.7968245819859014,0.6966032749057474,0.46787366915740536
0.2541779096388938,0.4959148660212322,0.7093179315708014,0.7352004698604563,0.3348763034586304,0.5181925808043433,0.8727328786745616
0.6891321500347812,0.8250696181983428,0.5292129219214123,0.5946565258573498,0.8070833032499458,0.7407474587504147,0.1899647016486554
0.7782957266142482,0.10214807176350744,0.679601848012504,0.746062236677729,0.3918845461482328,0.36351465348787376,0.5253231503915563
0.632851679455342,0.2965618582972487,0.4491285877143461,0.6682873070217675,0.7964092681921084,0.7178465749753525,0.7831752384364581
