S,T,U,V,W,X,Y,Z
0.8085402311714665,0.2389790461128963,0.5451091765469233,0.19350787678000864,0.6155908852217657,0.34139217551952294,0.6072259426665864,0.7943887184527805
0.5671455885455952,0.6160527910011058,0.8781643636009653,0.5420843620234419,0.8491354783509645,0.7759242570192155,0.8530559637548204,0.43633828081864184
0.9017791644955373,0.7651726780174684,0.21287751456332188,0.7656757230864512,0.31328383470356663,0.4248067354794962,0.23798019716618676,0.8014947063193618
0.3272765267521863,0.4362568675410623,0.5527212685746639,0.6260250095877022,0.7193892593230569,0.8587775013722513,0.6238487501943385,0.5273803763896534
0.8176293066661139,0.8685030048126163,0.8314046987753271,0.7551581563320435,0.6158267620449059,0.23941838631280685,0.6841489585778038,0.8009871384047144
0.5436953869865564,0.1807594916712988,0.27177541197007643,0.46954912302980395,0.7188239763549105,0.6524578490742335,0.7366870372387917,0.4031432000814928
0.9147235060062913,0.5152619524132415,0.7203706434632993,0.8743955274400684,0.6343627301524394,0.7056411842187539,0.5650936550255097,0.7935098383000787
0.28989716654703873,0.7612291095267624,0.6165814366976208,0.19068616724035423,0.6685477091173155,0.6144847398715976,0.7923040420929992,0.449102437803844
0.7592395022438398,0.6045759525196529,0.7133423242718758,0.5433186977666999,0.7898952297548278,0.7531184066628486,0.44857875743050524,0.8255444020750871
0.6758954616599293,0.7497836451076546,0.6016669571929799,0.7855364095039654,0.47798959309758005,0.4911240877864221,0.8399084336993058,0.404009186223593
0.8103255777357511,0.5221110942343526,0.7300341066851792,0.4622767875672602,0.7998103230897905,0.8032724752251795,0.3645071974403336,0.7702409686829944
0.571412192173814,0.7964580826071599,0.5983060786235839,0.791534708995293,0.4734856116508303,0.3685068008968014,0.7884834702864552,0.5577548839283705
0.8857254024079247,0.44653200013929956,0.7263778788011374,0.44252534668735205,0.7983443986399313,0.8133586241220737,0.5239355853672666,0.7573796661023995
0.3713320085169548,0.7855035275201445,0.6315402795545073,0.8101154499317965,0.47403438653380364,0.34326483600463237,0.8042097681873401,0.5520066887988794
0.8523414554889357,0.529859175582095,0.6797617592566078,0.393622959341295,0.7965244067133649,0.7811899681581188,0.49129393087696505,0.7677103845295903
0.4714943040435783,0.7814156695350055,0.6814985594960746,0.7961683409306637,0.4976413622333505,0.42757033498118013,0.7983739504513317,0.5345675727155715
0.9281389999149925,0.5087046868487918,0.6312220535063531,0.40972784859192424,0.7710284227635595,0.8393945146746208,0.4765974376027848,0.7416477139726255
0.24595296035918374,0.7709050778198939,0.7576428903918397,0.8194832935567122,0.5416756779827148,0.28218937408164135,0.8075812746854546,0.5842889771443389
0.6696376990545398,0.5995134404134062,0.4611555774487487,0.3263136232990602,0.7728273448203049,0.7107017871866483,0.49739501030420885,0.7394121357659161
0.8411592077166193,0.7270590129698846,0.8268288666412567,0.764697798942183,0.5706134995875093,0.5849414760837146,0.8127603770854694,0.5800974769317981
0.49548668357546494,0.5475215242902526,0.32345487780693,0.4429106530610481,0.7632673875550142,0.7922055174432011,0.4079532903053741,0.7444740143607893
0.9288904840750909,0.8441049723634705,0.7596629594835059,0.883067027743445,0.5614142384569927,0.40695658296816817,0.8003623403939405,0.6029894945010825
0.2443808026673323,0.2189629527973485,0.47036456298307355,0.15022523746509028,0.7455005167949563,0.8273267035212032,0.4838388047521158,0.7090939015145781
0.6803015553273761,0.6236037656626793,0.8829453980444101,0.44697933013557417,0.6625412218041994,0.32477341991819364,0.8053274948144984,0.6487869156058098
0.8080425160392591,0.727512336494289,0.1908869586916855,0.7688645948539214,0.7299866015313567,0.7526963447652142,0.4950212413178446,0.6681926169467161
0.5719539527226969,0.5420707163160753,0.5273218749258519,0.608826885979554,0.5423967814924987,0.5074341236647156,0.8019205820001234,0.7370833794812072
0.9089782599206074,0.8183760022660477,0.8148943898131552,0.7804207923604437,0.8069322917169295,0.8380409922342374,0.44895931049300647,0.5163138033024922
0.3072776616207193,0.29260887457575363,0.323284051052588,0.42038400562159683,0.3670429731622884,0.2685805297988693,0.7986576458836042,0.8485177939382074
0.7908215161105951,0.7466910841597967,0.7538702837796141,0.8761149794891305,0.7982242669190963,0.689536509251839,0.5245390034024661,0.24511713336106822
0.6039845956554626,0.5055405688240147,0.4967023840295102,0.17263092316340753,0.35889092265922545,0.611406981706033,0.8048229348080439,0.6507761161596641
0.8983297888228625,0.8243436870630609,0.8353616757345964,0.5219964461333573,0.8435102962158595,0.813019736651548,0.41567569477252075,0.6658639559911853
0.33510363236750457,0.27913284896231016,0.26663695436771917,0.7779914005540829,0.34360419162144884,0.32883924742466025,0.7940209021848702,0.7277883316291548
0.8304098455786317,0.7202729750600962,0.6989879030775343,0.5765775080177029,0.7548198819393475,0.8016362829072384,0.5157843875102013,0.5339194042507671
0.5289618415744165,0.5400300891191214,0.605399336198925,0.7786854646952058,0.5416632031542554,0.3776510870493214,0.7944041203392359,0.8311742330149752
0.9221511397432681,0.8327883948851376,0.7817631548616794,0.48336404631870716,0.7827291874207444,0.8200607188539711,0.5129386100586304,0.2897712863990249
0.2773743111447899,0.2500850090685986,0.40438319780396753,0.7992245463692118,0.5084637120447781,0.3337812179077158,0.8017670444958609,0.7296209300744986
0.7590234821902732,0.6824071186774874,0.8626981366082667,0.48688783363210475,0.7861893124869471,0.8029019658379588,0.5021403268369258,0.5397331329880397
0.6761213066450994,0.635570805591208,0.23742846940419698,0.7949711192193617,0.5055420574124891,0.3735486323848232,0.8017317728623773,0.8283449949321439
0.8109648902794799,0.7317832617293634,0.6297005620944037,0.5435005660950486,0.7994703145878274,0.8126691097986054,0.5037088839586764,0.2989025335174892
0.568404946514622,0.5251611725892786,0.7092544812026356,0.8030223861211456,0.4470138107193968,0.3429955675083549,0.8052926539830367,0.7311284347717153
0.8935282495759793,0.8200928612657987,0.6451512027822333,0.3842783645231236,0.7789567831912014,0.7968522609568347,0.49681956143652883,0.5274695180136969
0.3520307321746965,0.29251549045528624,0.675849421192113,0.7966965617226548,0.5488263632052758,0.3962749399353894,0.7984049924284764,0.8448853078098917
0.8581835369859442,0.7394551457187029,0.7526122995679032,0.4189505446920725,0.7836566839917314,0.8243584215217875,0.4992572017360673,0.2549786299466956
0.4509157753781295,0.4969919479128681,0.4994377007164983,0.7880670256506779,0.5198706104353333,0.3182698170515625,0.7919229943995469,0.6612378788623915
0.9242916214428663,0.8568973865389063,0.8395266203350981,0.4925804504343287,0.8000291594821487,0.7594783378587985,0.546184728136173,0.6186953347580354
0.26071336804448564,0.1828717898340632,0.24995429761856688,0.7918664248773507,0.4541558920407464,0.4673391544916108,0.7919198115325428,0.7804131424081817
0.7363400724308076,0.544694701957832,0.6853931176480729,0.5448680551285704,0.8055836489796016,0.8531592593528223,0.4980708545448988,0.4242898413789251
0.7153044575815883,0.7837964189792236,0.6770777784325341,0.7934477247259027,0.4329536542240068,0.2349438853269941,0.7978921694153484,0.8250559291703687
0.766018696544022,0.44017987582505963,0.6323875900659472,0.42346883296394955,0.8042107137039117,0.6453592162170165,0.5372963824896502,0.307135673119828
0.6568401448359042,0.7873960184503066,0.7670265398560004,0.8475316094952148,0.483115855228393,0.6745461146450891,0.8142017220870134,0.7423973760685555
0.8488371819834623,0.4561018763269456,0.45433399459115525,0.25659851810046475,0.813301468412358,0.7138995791452915,0.3756725447008607,0.4956292843362182
0.4764098920573557,0.7883713403298616,0.8741704642090224,0.685209782957186,0.5021538480334542,0.5785045998501477,0.7818271756769708,0.8677040041943891
0.9312158905820971,0.4934984050978753,0.1676648832165788,0.5741783227325888,0.8248729734537449,0.7906262208841709,0.4687753537987653,0.18961058229605834
0.2375456864028834,0.7911657417478892,0.47810588902415363,0.8972090815828258,0.36669628089604955,0.39742530783833646,0.8103643279022582,0.5445984040178811
0.6749438383573675,0.5545412741733697,0.7913936382838427,0.19243536161118763,0.7473771276477486,0.839864939295837,0.4738672948667802,0.7911194690754203
0.8250980435415756,0.7875059345762893,0.46301913870475286,0.5421253194013507,0.6510674799954589,0.2916685995643794,0.7816588583432625,0.4851199058667975
0.521111823963885,0.3955855749539605,0.7821588608222296,0.8235699670243735,0.7314533747132691,0.7051373280303338,0.5611102943759672,0.7989407871451931
0.9259149192304502,0.815828243310454,0.5145885313719375,0.3150251757977258,0.5221040509051438,0.5981119087153133,0.7848457496576803,0.4407391836163328
0.2505205362897562,0.2997750019093237,0.7808491447521019,0.7500970535453733,0.8855120417420849,0.8013313817703507,0.4730623217467452,0.8053312009756916
0.7025760390645008,0.7594618045242802,0.5571609041629024,0.4959310248121492,0.14475612477455188,0.35025475368866826,0.797727124268518,0.4596476236159625
0.7752625204257303,0.4861728915335297,0.7718939159239853,0.8249278127805488,0.4370472544466488,0.8367732676301669,0.5142144935014034,0.7595884713416114
0.6451741303082914,0.7979946103769007,0.5267268513099774,0.32120023994560015,0.8443211311144648,0.3903515374146145,0.7725808724150569,0.5359752952829212
0.8451246242022667,0.4281539818977578,0.7610366310365675,0.7734787310812565,0.3950183533251535,0.7750427358985117,0.5589970356543057,0.7805419237294899
0.4807120073974338,0.7896358428046673,0.566424296681031,0.45040512886842965,0.782946455294286,0.5525646447964601,0.7690092336254354,0.48841784051078035
0.9215196356870172,0.4874636229613901,0.7462730945933085,0.830950689861669,0.5166500931312734,0.7854206234765068,0.5099906009516803,0.7758312726743896
0.26484871668044435,0.76522111867194,0.570626497177777,0.3097032948226863,0.7857706389964094,0.4980608234631309,0.8109836160985452,0.502668522485606
0.721533554731233,0.6126208082739819,0.7563395853284973,0.7420245396062254,0.5364940009235696,0.7942253240480437,0.43085937356825266,0.7867002553370935
0.7294867691901491,0.7403031104158134,0.5221588166539283,0.5285691839337241,0.7962905839238885,0.46503081069656693,0.8083602937073849,0.5093670266950764
0.7189115394226695,0.5261944328591713,0.794589936931179,0.8373770660710066,0.4619638587677633,0.8074131448399673,0.4509549290700094,0.7873970670703982
0.7611260652353401,0.80331596228643,0.4645110696866129,0.2725447712900065,0.783922942172596,0.47139596409835727,0.7919488518086497,0.5106567921526151
0.6589019953366515,0.38602762605456586,0.7645481566706339,0.695863135130105,0.5645021308483383,0.8215468450848261,0.4828034351513476,0.7992367810198038
0.8363344346141867,0.8043764691345935,0.5716212362700102,0.6050698596292584,0.7887353747925392,0.39221346995133,0.7982833782341854,0.4600186267950992
0.4891927697895194,0.35304326245950757,0.7539728450898113,0.7858627573561573,0.46732398099907463,0.7872435317453527,0.49472516235269587,0.8017059541598627
0.9252033337102816,0.7803061180931943,0.5926106580670741,0.4307252572627525,0.795077148324875,0.500250192224228,0.7941131114070961,0.4510495585461599
0.254184264461055,0.3880244885074424,0.7448234088707725,0.8210498936875805,0.48989408629259684,0.805284794611882,0.4850187903134324,0.7962806797625903
0.7007799301856117,0.8586526247939393,0.6033427036101271,0.3319388214617523,0.7947322679762817,0.44428917932678375,0.7987580150490434,0.4706370658931729
0.7779046504921668,0.24711405009736284,0.7167341660073495,0.7457904457057172,0.5069209278133906,0.7844485101839103,0.4726531677827829,0.7974507242387223
0.639835146309535,0.6331573278176097,0.7060595678988545,0.5032485532317451,0.808001998010567,0.502451566018646,0.8111554942194291,0.47420524039709194
0.8482350859994564,0.6935095251554332,0.6187559911481028,0.8085155998689093,0.4393273408458121,0.7832144873580649,0.42148270005271316,0.8104503981691146
0.4701362273507338,0.5953697516369688,0.7392621928223974,0.39944373271995265,0.7786364256460802,0.5134521057282271,0.8101230041911042,0.45426463029503983
0.905466081918003,0.8232321860111155,0.5630318870967103,0.8179688693604172,0.537754682084081,0.8052406517923364,0.43412095701076425,0.8075076064545724
0.3173796674766806,0.2841528071389972,0.75062704395666,0.39423653463417435,0.7813341670807159,0.4287749054194198,0.8136484103301682,0.455586950874793
0.8320789620286227,0.7215341692616031,0.6276949096747353,0.7898401590930407,0.5458039501579847,0.8016123416716083,0.4431707957115434,0.7936058556629407
0.5112953955872059,0.5472165196644444,0.6973442750113803,0.4441200639533604,0.7792752035225691,0.44928953442800074,0.8051129872953339,0.487637019526097
0.9335877213310608,0.8381115677729943,0.649614214000672,0.8156013128241645,0.5310006201760081,0.806349571230782,0.45809110896618876,0.828562137237815
0.228951968743784,0.2358393730675271,0.6603745353460964,0.37635237401920035,0.7990338549540408,0.43548435643498434,0.801533832329945,0.399046341397019
0.6534074151717271,0.6595977715846383,0.7710249006461505,0.784309939296635,0.5007009792032763,0.8118675842968983,0.4713936815561293,0.7757218129461152
0.8492482944288287,0.6461749987181973,0.47637186132979586,0.4109385746859709,0.804698433543383,0.43406190145457724,0.7933982223961162,0.5136597602299044
0.4723117753570664,0.6628757156935743,0.8245991669100541,0.8430849810736654,0.4711166606224085,0.8019955213463285,0.4746238272099687,0.7881151359074473
0.916613465818702,0.7270012001624682,0.35456279382563516,0.24575168888613805,0.818348279243342,0.4800234110634743,0.8008600778726278,0.4976408809668156
0.2803993424282375,0.49690253004672374,0.7520443214066853,0.6805929752285577,0.4910913716945462,0.7915498890684937,0.4672784302389524,0.7897206311341057
