S,T,U,V,W,X,Y,Z
0.32273619316990126,0.05352617959962511,0.365798926132995,0.0029547045995402727,0.5371148757642926,0.6971762938617356,0.69223503183256,0.2961432474226118
0.7943656719360578,0.19148046391689255,0.8479500993051646,0.00492399213824486,0.9445072130945724,0.6746864426577786,0.6195577993590793,0.7174090805863629
0.6061858749937973,0.5267338625185586,0.40765583202117783,0.0042965765554042745,0.19353892517096516,0.593538921913412,0.726259448644362,0.5927840272187633
0.8934617481227229,0.8166337792321517,0.830786972065635,0.015746848166094268,0.5818929518776648,0.8632115746510857,0.5821158129414795,0.7542456966524945
0.3493256620567776,0.2942269307505248,0.28410952544017815,0.0580091223551769,0.9157183029817133,0.28469091634081,0.7250768402363612,0.525980805254619
0.8323550954656157,0.7515915240210362,0.7339767672974684,0.1832927021085537,0.2582777259823776,0.6610495907613608,0.6916338243562593,0.8094461177922433
0.5132530615070646,0.4674377391707495,0.5509179733563249,0.516384844497557,0.6799771140902972,0.7749472456228025,0.6449429747792244,0.3686673767514971
0.917467436164634,0.8497738730575236,0.8221970792039897,0.8522864015924947,0.7008961713156916,0.4635498757588167,0.6954091557249671,0.7834014615440286
0.26961095110057864,0.20373618857165307,0.29344407090717295,0.22263696469144167,0.5782407028246558,0.8130857965562014,0.6930421802473578,0.44974186022641227
0.7343874448423374,0.5959488056769957,0.7589990217091643,0.6173290212733569,0.8624055401802164,0.41412559625910617,0.5808776889577405,0.8267472134641919
0.7164416917272597,0.7496160642989634,0.5180345608419041,0.7006947497193601,0.25509848878018376,0.7982291379956975,0.8402520986698012,0.36130808589235364
0.7205954526879935,0.5231493876488283,0.787860123109565,0.6474766110300121,0.6459495088760178,0.5179795293830253,0.2640354837250571,0.7764058352377778
0.74531284273589,0.8054829464144974,0.4776526065941053,0.6732703851346857,0.6993099812271067,0.8240467644791527,0.6704836817186176,0.588542871214528
0.7048925829017326,0.37895319332417016,0.7989614145579353,0.711759645914119,0.6298749115892044,0.34627508041367155,0.6373398065928914,0.7886702578088541
0.7748658609656366,0.7866566005207969,0.49320246568378234,0.5574478424587535,0.7185669362712016,0.7745660174855983,0.7770244293520282,0.4272432391271184
0.6442852683210227,0.4185395426100165,0.7941031969597113,0.8400556720534325,0.6236742693268804,0.47711035998283713,0.4285834977583042,0.7884654911392781
0.8537013572142427,0.8235896302259318,0.4903969779741304,0.28328972523124585,0.6822201086071294,0.8373275582081424,0.8616327351014693,0.5100417650298039
0.4678844004987629,0.30767198256907924,0.8001096382755684,0.6992552972045666,0.7318537885517478,0.33000719399524303,0.20041799509754082,0.7646591130877064
0.9247158853114091,0.7453262490633599,0.5077669739095704,0.5810855887088834,0.5554254630398663,0.7510747078393936,0.5834201711386126,0.6290521242682645
0.2491935399230876,0.48657737001246076,0.7956829080213047,0.7700422082516664,0.8166590271570037,0.5607963401845836,0.7657919325145736,0.7209627243389394
0.6994535556993681,0.8786994540666648,0.472441382188933,0.4347561152456655,0.3487531233361708,0.7792881696709512,0.541300331432027,0.5434211273231404
0.8095204666680604,0.17122665191596365,0.7662402299595187,0.8336711290974923,0.7958305815288746,0.5507221522972775,0.7707295271741714,0.8315513512321336
0.572102592129379,0.4907452312770176,0.6141599749024175,0.3019347153030454,0.3797622007314867,0.7997787158791908,0.5199902472735891,0.29795568118025145
0.9094070618291119,0.8497194610553273,0.7691133672762871,0.7251285477644616,0.8522317637885999,0.4960585968146874,0.7928693940380952,0.7429487615955601
0.3085626710419095,0.2231603082435575,0.4367533033521178,0.5738005550342389,0.24656080276875633,0.7853059985061057,0.48818911112019575,0.5020616985410211
0.7943425972861569,0.6166760657153388,0.8810269240668652,0.8287585863544328,0.6433802156564795,0.5811379545598883,0.803550142058112,0.850751249591726
0.6135685565212053,0.7073465855215756,0.1952894347545072,0.2766825029941728,0.686014860833526,0.7761897437175369,0.41761576029406466,0.2289041878978875
0.8776933937487559,0.6136819212579704,0.5220049171722486,0.7195170272257752,0.7694047527384029,0.48736349677861596,0.8119348782086763,0.6295706749234471
0.4020608817666931,0.708366623512125,0.8076266628838692,0.6152764386696807,0.4747211554065605,0.8067078787122991,0.44066495090016855,0.6940789412496837
0.8934053071607359,0.6677000035297403,0.37477516522150023,0.6990682855119773,0.8362282887244996,0.443263021665006,0.7960960643433909,0.6751287445336394
0.36717548083714613,0.6275577019688698,0.7923816253813315,0.6934014375043867,0.3171961542673314,0.7907114451001039,0.4751238905014647,0.6349127404300123
0.8576563132923195,0.7904831399377082,0.4251837820652241,0.5629310378145677,0.7257071364491346,0.5293752696487228,0.7923570505293447,0.7540165446837087
0.4558800251518245,0.3843059463971932,0.788015793577111,0.8503659641744169,0.6073749951826092,0.7991331438313327,0.4832904930380761,0.4815950623335769
