S,T,U,V,W,X,Y,Z
0.2054693916731855,0.34579837370439787,0.2131876498221593,0.2995612468110523,0.34430678359347444,0.9100522565818596,0.1365061536933572,0.19561824473802955
0.6040313668069553,0.8212019070744233,0.598185894011097,0.7602926968359188,0.810499244586148,0.1981148643611997,0.3985411322424278,0.5775759335838825
0.8849566564650239,0.3755306138710333,0.7222064634767128,0.5206052373641734,0.36028749191041104,0.5411335901829764,0.8712629452502693,0.829487046707363
0.3766909787800976,0.7607426602103279,0.6513986270318577,0.7993217686700274,0.7986529122265602,0.8654009019741324,0.25559996962052306,0.27461934239776226
0.8687410755574217,0.58043189760165,0.6712905017913209,0.41607917999100363,0.37959091214568863,0.19606876723340771,0.6360885888254588,0.7184618322859335
0.42191107102799646,0.7343190939786569,0.6844801311365633,0.808472213432057,0.8278522369476825,0.5666239568470695,0.824398623056321,0.5945317352635374
0.90243784093642,0.6212175882209647,0.6274781517130039,0.38388734457083695,0.3001699795915821,0.759131975321992,0.3793773466614545,0.7276218909645895
0.32576200147500106,0.6838319575109882,0.7331173110853358,0.7979032626564102,0.7474238513035392,0.607764308476215,0.78213904203365,0.6426271230028902
0.8126721435190091,0.730641471124345,0.5523763416194781,0.3967412568993143,0.4992002164331558,0.7373444313139548,0.47261618569641284,0.6807041722844035
0.5632736834687442,0.5282286844541402,0.7785388220801435,0.8160266978408396,0.8681789388391883,0.5993613797810025,0.8127196557429678,0.6981014545814613
0.9101868316270996,0.827881687856501,0.4974516952660927,0.3376162184762342,0.18120599132361717,0.7207551846043261,0.4002845924355625,0.587542914229417
0.30246302369096933,0.26919160574244017,0.7858349406655077,0.7753638068870807,0.5349765965755879,0.7110526730436131,0.7992356222431615,0.8215996367812105
0.7806228290655362,0.7072636169657432,0.5520309391702618,0.4364141165725695,0.7877318696642375,0.6393786635425118,0.4028131399721185,0.31689170868262634
0.6336280628868429,0.5810991621778958,0.7832781571428106,0.833099063025699,0.5067168341247568,0.690676058921111,0.811937633909746,0.7627612986456501
0.8589311009937068,0.7815314850771407,0.4721761684472993,0.29024599842706694,0.7895799536174877,0.6808043133904227,0.37633086228797946,0.4582076333329159
0.4483233195359481,0.40361909105587696,0.7979629142089162,0.720425620208491,0.5428275915443546,0.6289425456091224,0.7904746054082121,0.8656319890539089
0.9151192265760002,0.836924946507143,0.4870057653875484,0.5500632718344521,0.793748323752794,0.7579929844052447,0.4470847998508554,0.19435738046355852
0.2874013025896905,0.2423809723627121,0.7867163315536567,0.8293919900243863,0.46110557860478807,0.4791534899154446,0.8083894313719999,0.5536400767379944
0.7577666372799268,0.6624041003680768,0.5574529579244781,0.299424741731809,0.797974044233614,0.8610368690222397,0.44528992877927503,0.7651229528982898
0.6791585346099749,0.6606754519270738,0.7884801725856881,0.7240201575405593,0.5209163983753231,0.2094131704041104,0.7920816642722018,0.5510720872061983
0.8062382120627039,0.6813997326893835,0.4380932638672403,0.5455033958572423,0.8038555005602613,0.5843225831151959,0.5595258138479557,0.7699978907294568
0.5780071826487623,0.6196523965418012,0.8112624868873116,0.8411333377015455,0.4377923135553229,0.7488664565441403,0.8097822914679749,0.5097954547110704
0.9024850539842498,0.7560983193854073,0.393645010556557,0.2595996380674372,0.794103665579698,0.5923794379008823,0.3653844162838543,0.7876539369963615
0.32562139088139336,0.4508784526160287,0.7837496365195125,0.681168058321807,0.5409842186368141,0.7432685692758237,0.7937887420302651,0.5231331768376565
0.8124907725228827,0.8745901710981915,0.5068069166698633,0.6232216158803243,0.8022256924081842,0.5767509178759321,0.40733127855239715,0.7851638841379627
0.5636932132257924,0.16150268658541583,0.7746907153064574,0.7653167375655989,0.41998607836830687,0.7559114136815327,0.8230718641701144,0.517244582674219
0.9099897459792029,0.474605898432471,0.605517319510698,0.46242489750170646,0.8009938149322589,0.5826398552075907,0.3283328439389629,0.7823854768813555
0.30306111031006205,0.7814279467906834,0.7879981424488127,0.8292314569938806,0.46812039367762637,0.7509798381615619,0.7600340230088105,0.5451549932870566
0.7814957727924695,0.5558985348481803,0.40593498051421734,0.29949129929685575,0.7978257854934928,0.5801121522253969,0.4841640711331971,0.7798769091990913
0.6318124806298904,0.7712624989389492,0.818104060926981,0.7399891551544303,0.5212445972184466,0.753878530194222,0.8382552761211196,0.508169122781208
0.8607142388157206,0.4892456505085443,0.33273193604103446,0.5057855696670025,0.800807129390276,0.5601175127801922,0.28725770123943467,0.7831596731484202
0.44357538028770266,0.7871822022516611,0.7689439102067631,0.8734732922590116,0.4564186743587113,0.7694197921750298,0.7114633544919482,0.554691809550035
0.9132201704741938,0.5043375456831515,0.4490746879396339,0.1771528318013848,0.7908431724583459,0.5441606416477489,0.5782172911776271,0.7832178328250855
0.29322163563912956,0.7737297077025937,0.8410827697602165,0.5158768048976935,0.5712533962497427,0.7820463850033279,0.8044326253404642,0.47480343590923874
