S,T,U,V,W,X,Y,Z
0.5565126707096174,0.015575999809406452,0.8447668699621239,0.47949055251465217,0.9510328876129298,0.40078557381556457,0.11366281481909729,0.2834781832818567
0.9035811347453391,0.056536085032743336,0.48131995030314556,0.7753084181477228,0.015091541870959204,0.7745145748217884,0.34917183261906004,0.7548029558742254
0.30644676969879764,0.17852541440902292,0.9139924212713072,0.5237796792350721,0.057391172156020305,0.6632555704068696,0.7607490970639008,0.6071590008926123
0.7817589556961911,0.5238846582681299,0.2273916211095319,0.7629250202280417,0.19096931291693336,0.8280653537932077,0.5020842391371932,0.7333096734937995
0.6387295340050119,0.7890112098618192,0.6066549535841742,0.6212625078827461,0.5260556662124194,0.4799860332378969,0.7850924504572763,0.5971679759520929
0.8455798845836546,0.45192279941072744,0.7187782877298275,0.7455182927365662,0.8221846003732841,0.8183716634573359,0.5009172927475877,0.7306209365673325
0.48300011756872213,0.7940670305825619,0.6323186599869095,0.508882373969028,0.33760493594566093,0.3193537560482418,0.7931848589747732,0.6203578894663256
0.9181694039186548,0.4824171297419995,0.6814514167462075,0.8184947140248646,0.7879479767538975,0.7946074487735676,0.5244595656370328,0.6971781863351703
0.2779358868739607,0.7753964575432298,0.6913752201164276,0.3568400016860607,0.3970092673473079,0.38729330724958366,0.7863058597527948,0.6678509033180479
0.7391508956970229,0.5742178628414442,0.5995442446128756,0.770568270175554,0.84751190025758,0.8247192779911646,0.5462829021527268,0.642444049627864
0.7139255005477337,0.757509131476443,0.7706864503929238,0.5023841531265272,0.2565664290986707,0.29999168158452516,0.7693861396839179,0.71936114991117
0.7497932712679303,0.49959507076893617,0.47720083286288056,0.7907152188066826,0.6760156512607978,0.7583204838574057,0.5827350808934524,0.5587766569452937
0.6909746879219223,0.7891000546984516,0.8509423801093303,0.48249124418246714,0.6367905321452054,0.5156937830810717,0.7448100008530513,0.8056024688807181
0.771941415166363,0.4260207700369654,0.23236913733102033,0.7716647977166783,0.7579633981539701,0.8189967759685364,0.5705903734899327,0.37521532356912196
0.6540277658203795,0.8099233136541235,0.6339358599190577,0.5946134063597708,0.4857370188530789,0.3482926756717538,0.7485086552502543,0.8015176602855235
0.8490357587903178,0.3912536101710148,0.6880084356705948,0.7784884963436511,0.8286944676873881,0.7701752485304116,0.6188462296220719,0.3756646458724551
0.4744421857875019,0.7735734841959995,0.7101087826848534,0.4454186025021023,0.30958440841110724,0.4450661461531828,0.7246095559245095,0.7964035736701978
0.933290116385122,0.5160572011519351,0.5766688748309646,0.8152846228445715,0.7508346673063043,0.8848863566352455,0.632101619324962,0.4180238109818253
0.2387750113683605,0.7700700857652638,0.8032544542282816,0.39116678295237817,0.4855229288331126,0.16574468044624394,0.6767641537263992,0.8134061126097681
0.6810323921639576,0.6038797457966872,0.37170568577405694,0.7813610980400065,0.8711550010736546,0.4926661515865522,0.7851282185642019,0.3631474091262258
0.7999533748469962,0.7638121391579211,0.7867543057796051,0.5299217952763272,0.17930978107044268,0.7845382335916126,0.48485197994509593,0.7629002235785549
