X,Y,W,Z
0.853914102839256,0.20483335285255586,0.19076142127629972,0.014906836376809642
0.4588456435192057,0.5310809705108529,0.5149634305627236,0.050769766112151886
0.9168124182049427,0.7348802448446824,0.8461631782040527,0.17579214615506566
0.2811814952774591,0.2268751591980293,0.212480984151145,0.4907848630040349
0.7498803558038593,0.5709034531391588,0.600767800039183,0.8970701516868042
0.696609741417629,0.4618382011122808,0.7304360173619889,0.11457781766673113
0.7920475273227244,0.6739781327831307,0.5543649342715288,0.3582207651545349
0.6070483954314311,0.41265383571609926,0.7626787505331583,0.7754453006886349
0.8840752904782129,0.5947511228214905,0.5104230703970913,0.4928472273866813
0.38004081879163587,0.5083901712401172,0.7695959435941874,0.7894916851739759
0.8812605790309874,0.5866382510500716,0.5602945169019564,0.5261714998693502
0.3853485723482931,0.502213040763283,0.7372313280913112,0.7746400856983481
0.8782343151003928,0.5956228260059179,0.6308602470115233,0.5546300831852555
0.3965362058258007,0.46312435898221127,0.6697183709077665,0.7682281315085827
0.8839932912537402,0.6277815635634713,0.7265855448706794,0.5650859262328736
0.38009642329143456,0.39158803177243684,0.5143061587752883,0.7591856852844969
0.8724952763047079,0.6587815546981813,0.862788520134963,0.5925455563637592
0.41444274041153156,0.2968059725306906,0.17669728884008148,0.7278717750574341
0.9078746683815224,0.6372707365635645,0.5106873898153979,0.6384958519502612
0.3094598512823891,0.4046897850892146,0.7748929294113353,0.6723285037043488
0.7959026231925658,0.6475144911889446,0.5693718125080979,0.7716027331057344
0.6026048255122769,0.3646884227886484,0.7481753794511219,0.45208125380100916
0.8938977662701285,0.6316468834270803,0.5374256266828474,0.8473776923207906
0.34808240326577855,0.3643360452693216,0.7574402409851504,0.2237243251994375
0.8408373353602945,0.685539180829993,0.5934272514948176,0.6269445430780747
0.49493386275485435,0.3068657793993687,0.7184917667201689,0.6975829957427915
0.9236833470946867,0.5880617520009919,0.6288871902807657,0.676135439774208
0.2604579840447213,0.4478996403289084,0.663679404526701,0.6090569675992067
0.7201690861289688,0.6789302603487909,0.7673387627708669,0.8437656650999731
0.7422627100397382,0.25669524143877653,0.47025737455915423,0.284317587675003
0.7140815084494502,0.5729419844949009,0.80064965148207,0.6979826564816055
0.7598315726642648,0.4653319214278282,0.3956554339321725,0.6230758454211184
0.6763463699332872,0.6377192047322479,0.7900124320585831,0.7295900905516833
0.8163800699201105,0.37176880357421,0.42839484604622124,0.5740648087470888
0.5521663498512223,0.6249647848628482,0.7899711574568254,0.7531145280012933
0.9124415775846858,0.4128975836698881,0.46612874166536294,0.557841197042763
0.2954185483357535,0.6204926675489841,0.7799518105341521,0.754292834908605
0.7678473437362922,0.4787911969193491,0.5516473300692217,0.6246895577136706
0.6575317944896288,0.5995507855803265,0.7774820657580173,0.7178960111141448
0.8384083993463939,0.4416859815333275,0.4623336884381346,0.6041738573371909
0.5016052974464051,0.6200832186472444,0.7831703474825747,0.725541578341363
0.9233143827939622,0.4456979002652738,0.49200087381946284,0.6235908841758858
0.26305943879289234,0.6049222870415583,0.7711277790090125,0.688525101688955
0.7215459043080644,0.5273379842533639,0.5900127128002102,0.7509018123835726
0.7431731536125294,0.5442929434814402,0.7517919376264084,0.5209348556422568
0.7061487332848638,0.5382587736356024,0.49745850701536265,0.8056154274645961
0.7656048065265082,0.5404526577356286,0.8010908301761545,0.393873366299408
0.6604325220804401,0.5563907904273907,0.377750361231601,0.8014564072532344
0.8270039142376783,0.5582800159166654,0.7903510471373678,0.41571200314790513
0.531934499946628,0.5197867552822658,0.38840257960951136,0.7918759218759165
0.9191682988567322,0.6185538252575801,0.8072599597448951,0.47495427688632713
0.27361614305737336,0.402314279833205,0.32161948364749793,0.7904944564620207
0.7328322209474186,0.6957956346721251,0.7797996912575235,0.5513851851052898
0.7219413574289796,0.2866165564520626,0.4391322573005233,0.7902962681149818
