X,Y,Z
0.4432181953467367,0.7638800205371329,0.3060727425114302
0.9136211234032225,0.5616947998093764,0.7897795881717896
0.2868332914695324,0.7473558728155606,0.611274320951461
0.7467132446109543,0.6304611604842607,0.877536372224304
0.7073720350808239,0.7091829217454796,0.41847384598570636
0.7617330895989716,0.6021126714739669,0.9129643883533444
0.6891227601016476,0.7425500625436716,0.3173219617044461
0.7650663375666348,0.5565560174384369,0.8027656365472818
0.6583592671012208,0.77769029052399,0.5924172599007593
0.8394716188111395,0.47605135661946313,0.9129675074624922
0.49239518907997737,0.8047532259469398,0.3012971704594569
0.9311003981907614,0.4534211311514218,0.7833175503636759
0.23319363027905748,0.8101292116780506,0.6484063277667367
0.6583342911908525,0.5073414698227278,0.846975355162096
0.8150267170890643,0.8322512548975124,0.48483654757939715
0.5590954104225192,0.285079902298812,0.9196891828791538
0.916359715066035,0.7141296136190294,0.2520191230782097
0.2846643547375426,0.5513952171614802,0.7021094247503161
0.7524720610554279,0.8834437967634896,0.7842459876525909
0.6921127675339512,0.15581389958813804,0.6280662726205354
0.79162498330772,0.4524494734559193,0.8657967267944804
0.6030263078165528,0.787216140967826,0.42831069050967047
0.8943260774546243,0.4700323918571176,0.9139520908911498
0.33839227662506727,0.8066231840246293,0.28672315957512495
0.8130001099005549,0.49365555280533,0.7481955545911171
0.5397638247238334,0.8229802202478481,0.7008435867397728
0.9415402428120163,0.4243308809949483,0.7710723367618784
0.20795210415012041,0.7784041017103398,0.6563935500788952
0.6144130597422989,0.5767178911336592,0.8294073492010395
0.8738827921324719,0.7941129577944708,0.517771653549514
0.39884772147494796,0.38299243443834075,0.8964736132632259
0.8546958165168432,0.8361590777647663,0.3185065975864802
0.47841013923292147,0.2605524306330571,0.7550024406480501
0.9269159921921815,0.6992532239143233,0.6873596556221607
0.25705150901398316,0.5700181393073487,0.787154008829288
0.7036215674962069,0.8598146853749423,0.6584797045897908
0.7795937556095828,0.2799827415265429,0.8078158703979422
0.6561322234224325,0.692310481460371,0.5778877053144993
0.838362221966381,0.6780329510859789,0.9093045043723775
0.5093113667430602,0.6290062933228472,0.27977819722004427
0.9256570590545818,0.8048643336547732,0.7408959309995665
0.24835631004604428,0.3112356625566732,0.728011724604833
0.7013624719545724,0.7854408238430401,0.7400936081575775
0.7628651596910171,0.4369667638860055,0.7344643474315059
0.6719022357473698,0.8031903107539198,0.7207389826326133
0.8075142533872908,0.40793337076546465,0.7610065295032081
0.5882848191969399,0.7883828361391024,0.6722024329669158
0.9112535659672648,0.49812424133484073,0.8360058175040781
0.2771659654820971,0.7847051487542662,0.5113099252425299
0.7280270606185453,0.5730403232841317,0.9291824593318176
0.722783577892953,0.7584251816861082,0.23000342513686703
0.7586627269215191,0.4971827290933711,0.6515125896926821
0.690945528270144,0.817007342891326,0.8228145648814705
0.783383700207548,0.3650440324679511,0.5361021292873099
0.6368106738970251,0.7676810080362878,0.9348499918768284
0.8510144310626628,0.5157912197649891,0.22477501805133215
0.46577614776101806,0.792365396328626,0.6426352042021611
0.9171868632454583,0.4980079028051361,0.812839352627502
